"","id","name","styleId","style.name","style.shortName","abv","ibu","srmId","originalGravity","isOrganic"
"226","8MZXxY","5 Beers for 5 Years: Florida Weisse",114,"Fruit Wheat Ale or Lager with or without Yeast","Fruit Wheat Ale",NA,NA,NA,NA,"N"
"227","tZn1Ul","5 Blend Rye Saison",72,"French & Belgian-Style Saison","Saison",7,18,NA,NA,"N"
"228","SosW7z","5 Bridges",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",5.4,24.9,NA,NA,"N"
"229","5MX880","5 C's IPA",30,"American-Style India Pale Ale","American IPA",6.5,NA,NA,NA,"N"
"230","Mi26Xj","5 Cheers Russian Imperial Stout",24,"Foreign (Export)-Style Stout","Export Stout",10.5,NA,NA,NA,"N"
"231","xe0M8s","5 Czars Imperial Stout",42,"American-Style Stout","American Stout",NA,NA,NA,NA,"N"
"232","uPK6Az","5 GODS",30,"American-Style India Pale Ale","American IPA",7.5,NA,NA,NA,"Y"
"233","7pL2Fp","5 Grass",108,"Session Beer","Session",6.4,NA,NA,NA,"N"
"234","5XEFnb","5 Hole Smoked Stout",38,"Smoke Porter","Smoke Porter",6.5,32,31,NA,"N"
"235","maOzc2","5 Lizard",125,"Specialty Beer","Specialty",4.3,NA,2,NA,"N"
"236","uYdieI","5 Loco",119,"Fruit Beer","Fruit Beer",NA,NA,13,NA,"N"
"237","M5VpZt","5 Malt Ale",32,"American-Style Amber/Red Ale","Amber",NA,NA,NA,NA,"N"
"238","OnOnDX","5 Malt Ale",37,"American-Style Brown Ale","American Brown",6.2,NA,NA,NA,"N"
"239","2BwhPS","5 Napkin Nut Brown Lager",103,"American-Style Dark Lager","American Dark Lager",NA,NA,NA,NA,"N"
"240","Qq39qI","5 O'Clock Pils",106,"International-Style Pilsener","International Pilsener",5.2,NA,NA,NA,"N"
"241","QsyRjm","5 O'clock Shadow",84,"German-Style Schwarzbier","Schwarzbier",7.6,38,40,NA,"N"
"242","W3xQ68","5 Phantoms",121,"Pumpkin Beer","Pumpkin Beer",8.5,20,NA,NA,"N"
"243","LnnalT","5 Points IPA",30,"American-Style India Pale Ale","American IPA",5.6,94,NA,NA,"Y"
"244","jK6yuo","5 Rabbit",36,"Golden or Blonde Ale","Blonde",5.3,30,5,NA,"N"
"245","DepAgO","5 Sciences Saison",72,"French & Belgian-Style Saison","Saison",6.5,NA,NA,NA,"N"
"246","j2RJTc","5 Seasons 285 Gridlock ESB",5,"Extra Special Bitter","ESB",5,NA,NA,NA,"N"
"247","od3MEn","5 Seasons Bavarian Ecstasy Festbier",96,"American-Style Amber (Low Calorie) Lager","American Amber Lager",NA,NA,NA,NA,"N"
"248","CmMo6g","5 String",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",5.6,25,NA,NA,"N"
"249","Rkb3u3","5 String ESB",5,"Extra Special Bitter","ESB",6.4,NA,NA,NA,"N"
"250","ATEb5C","5 to 7",79,"Dortmunder / European-Style Export","Dortmunder",5.7,42,NA,NA,"N"
"251","3AJboH","5 Vulture",125,"Specialty Beer","Specialty",6.4,NA,18,NA,"N"
"252","snf1Sj","5 Whistle Wheat Ale",112,"Light American Wheat Ale or Lager with Yeast","Wheat Ale",NA,NA,NA,NA,"N"
"253","e90IQm","7-Day Lager",93,"American-Style Lager","American Lager",4.5,NA,NA,NA,"N"
"254","E1vbBz","7-Iron",108,"Session Beer","Session",4.5,13,5,1.043,"Y"
"255","YgdsCQ","7-Speed IPA",30,"American-Style India Pale Ale","American IPA",6.8,65.8,4,1.066,"N"
"256","OfxkNq","7.20 IPA",30,"American-Style India Pale Ale","American IPA",7.2,80,NA,NA,"N"
"257","ctdBVI","7.5",30,"American-Style India Pale Ale","American IPA",7.5,NA,NA,NA,"N"
"258","RSC4UU","7.62",37,"American-Style Brown Ale","American Brown",7.6,24,NA,NA,"N"
"259","PhvPag","70 & Sunny",72,"French & Belgian-Style Saison","Saison",5.7,NA,NA,NA,"N"
"260","r3n0ZB","70 Shilling Ale",7,"Scottish-Style Light Ale","Scottish Light",4.5,NA,NA,NA,"N"
"261","JEBXLG","70 Shilling Scotch Ale",15,"Scotch Ale","Scotch Ale",3.81,13,NA,NA,"N"
"262","GmwoZY","70 West IPA",30,"American-Style India Pale Ale","American IPA",6.5,70,NA,NA,"N"
"263","RiRfMA","70K",20,"Sweet or Cream Stout","Sweet Stout",13.1,48,NA,NA,"N"
"264","tiM2J5","7117",72,"French & Belgian-Style Saison","Saison",6.2,NA,NA,NA,"N"
"265","HNscUf","716 IPA",30,"American-Style India Pale Ale","American IPA",6.4,55,NA,1.057,"N"
"266","AuvvHS","72 & Hoppy SIPA",108,"Session Beer","Session",4.2,35,3,1.04,"N"
"267","WrRWfX","72 Eldorado Ale",125,"Specialty Beer","Specialty",NA,NA,NA,NA,"N"
"268","MqTIG4","72 Imperial",44,"Specialty Stouts","Stout",7.2,11,NA,NA,"N"
"269","BIHt0i","72 Stretch",165,"Contemporary Gose","Contemporary Gose",4.6,12,NA,NA,"N"
"270","d7EJNl","72-72",61,"Belgian-Style Blonde Ale","Belgian Blonde",6.4,NA,NA,NA,"N"
"271","a71V50","7200' Stout",24,"Foreign (Export)-Style Stout","Export Stout",7,NA,NA,NA,"N"
"272","HTxRog","7258 Blonde Ale",36,"Golden or Blonde Ale","Blonde",4.4,NA,NA,NA,"N"
"273","UiwaFo","73 Kolsch",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",5.7,20,NA,NA,"N"
"274","DEnSHJ","7:45 Escalation",31,"Imperial or Double India Pale Ale","Imperial IPA",8.3,83,NA,NA,"N"
"275","enwmqm","7K IPA",30,"American-Style India Pale Ale","American IPA",7,70,7,NA,"N"
"276","cHvUEa","7th Anniversary",135,"Wood- and Barrel-Aged Strong Beer","BBL Aged Strong",11.5,45,NA,NA,"N"
"277","grBMfJ","7th Anniversary Ale",125,"Specialty Beer","Specialty",10,NA,NA,NA,"N"
"278","K7r0e3","7th Anniversary IPA",30,"American-Style India Pale Ale","American IPA",7.7,NA,NA,NA,"N"
"279","RJ7zEq","7th Anniversary Salted Chocolate",43,"American-Style Imperial Stout","American Imperial Stout",10,NA,NA,NA,"N"
"280","kFzond","7th Anniversary Triple IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",11,NA,NA,NA,"N"
"281","BzxzAN","7th Inning Ale",36,"Golden or Blonde Ale","Blonde",5.5,29,NA,NA,"N"
"282","sD99EU","7th Noel",14,"Strong Ale","Strong Ale",5.4,NA,NA,NA,"N"
"283","ymxxmE","7th State Golden Lager",36,"Golden or Blonde Ale","Blonde",4.99,NA,NA,NA,"N"
"284","v95joh","7th Street Runoff",12,"English-Style Brown Ale","English Brown",5.2,NA,NA,NA,"N"
"285","ZgkFSG","A Lost Epic",59,"Belgian-Style Tripel","Belgian Tripel",11,25,NA,NA,"N"
"286","AF8OlP","A Mexican Lager",80,"Vienna-Style Lager","Vienna Lager",5.6,NA,NA,NA,"N"
"287","euvKcN","A Midsummer Night",119,"Fruit Beer","Fruit Beer",8.5,NA,NA,NA,"N"
"288","CtyFPa","A Million Percent",31,"Imperial or Double India Pale Ale","Imperial IPA",8.3,NA,NA,NA,"N"
"289","A8Di3e","A Modern Day Warrior",172,"Juicy or Hazy India Pale Ale","Juicy or Hazy IPA",7.2,94,NA,NA,"N"
"290","faQkXX","A Modest ProposALE",23,"Classic Irish-Style Dry Stout","Dry Irish Stout",4.5,NA,NA,NA,"N"
"291","ZynHD6","A Moment of Clarity",30,"American-Style India Pale Ale","American IPA",NA,NA,NA,NA,"N"
"292","OLhT1H","A Moment On the Lips",20,"Sweet or Cream Stout","Sweet Stout",7,NA,NA,NA,"N"
"293","Hu9Ygy","A More Perfect Union",125,"Specialty Beer","Specialty",5.8,NA,NA,NA,"N"
"294","lF2C6z","A Night has a Thousand Eyes",165,"Contemporary Gose","Contemporary Gose",6,NA,3,NA,"N"
"295","20E9Ab","A Night in Brussels IPA",70,"Other Belgian-Style Ales","Belgian Ale",7.5,69,NA,NA,"N"
"296","E6gtLr","A Night On Ponce",30,"American-Style India Pale Ale","American IPA",7.5,NA,NA,NA,"N"
"297","advKoc","A Night to End All Dawns",134,"Wood- and Barrel-Aged Dark Beer","BBL Aged Dark",12.4,NA,NA,NA,"N"
"298","SHUtdf","A Nu Start",62,"Belgian-Style Pale Ale","Belgian Pale",6.3,45,NA,NA,"N"
"299","Apv5tv","A Pale Mosaic",10,"English-Style Pale Mild Ale","English Pale Mild",5.93,60,6,NA,"N"
"300","9ywexZ","A Paranormal Vibe",31,"Imperial or Double India Pale Ale","Imperial IPA",8.5,55,NA,NA,"N"
"301","0ueRT8","A Passing Haze",172,"Juicy or Hazy India Pale Ale","Juicy or Hazy IPA",4.2,NA,NA,NA,"N"
"302","ubtnUC","A Patient Man",31,"Imperial or Double India Pale Ale","Imperial IPA",10.5,NA,NA,NA,"N"
"303","AF9gS1","A Pattern Language",40,"American-Style Sour Ale","Sour",6,NA,NA,NA,"N"
"304","JIg0ar","A Peach I Caught",40,"American-Style Sour Ale","Sour",8.4,NA,NA,NA,"N"
"305","fwp8lN","A Peel For Clementcy",40,"American-Style Sour Ale","Sour",5,NA,NA,NA,"N"
"306","hIaaGg","A Precarious Proposal Amber Ale",32,"American-Style Amber/Red Ale","Amber",5.2,23,NA,NA,"N"
"307","ycV5dg","A Ramble In Aphasia",36,"Golden or Blonde Ale","Blonde",5,NA,NA,NA,"N"
"308","CvPbfi","A Raspberry & Mango Walked Into A Bar",119,"Fruit Beer","Fruit Beer",4.6,8,NA,NA,"N"
"309","8FKBHg","A Real Gem",30,"American-Style India Pale Ale","American IPA",6,NA,NA,NA,"N"
"310","I71Mb4","A Real Nice Surprise",18,"Brown Porter","Brown Porter",8.3,24,NA,NA,"N"
"311","XFDQ5f","A Red & White Christmas",125,"Specialty Beer","Specialty",8,NA,NA,NA,"N"
"312","sbNXii","A Round on the House",20,"Sweet or Cream Stout","Sweet Stout",8,NA,NA,NA,"N"
"313","AK07ML","A Saison Couple",72,"French & Belgian-Style Saison","Saison",NA,NA,NA,NA,"N"
"314","uU9FOh","A Saison Darkly",72,"French & Belgian-Style Saison","Saison",8,NA,NA,NA,"N"
"315","1Hoj2Z","A Saison Named Desire",72,"French & Belgian-Style Saison","Saison",5.7,29,NA,NA,"N"
"316","AWo4Cb","A Salted Cucumber Hopped Cider",155,"Fruit Cider","Fruit Cider",6.8,NA,NA,NA,"N"
"317","U4rEuA","A Season in Hell",93,"American-Style Lager","American Lager",5.8,14,NA,NA,"N"
"318","Iu8Dp8","A Shot In the Dark",44,"Specialty Stouts","Stout",6.5,NA,NA,NA,"N"
"319","PA2if2","A Side",30,"American-Style India Pale Ale","American IPA",6.4,75,NA,NA,"N"
"320","zW9HFr","A Slice of Hefen",48,"South German-Style Hefeweizen / Hefeweissbier","Hefeweizen",5.3,15,NA,1.053,"N"
"321","mchUwW","A Small Town in Ontario",30,"American-Style India Pale Ale","American IPA",6,NA,NA,NA,"N"
"322","oQoRs0","A Smile of Fortune",145,"Other Fruit Melomel","Fruit Melomel",14,NA,NA,NA,"N"
"323","QbihzS","A Sour Darkly",40,"American-Style Sour Ale","Sour",6.4,NA,40,NA,"N"
"324","2Oytml","A Sour With No Name",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",3.6,18,NA,NA,"N"
"325","IkbdVO","A Special Kind Of Evil",59,"Belgian-Style Tripel","Belgian Tripel",6.29,NA,NA,NA,"N"
"326","iCdPt7","A Sporting Chance",164,"Session India Pale Ale","Session IPA",5.5,60,NA,NA,"N"
"327","Smj7a6","A Stein's Throw",138,"Other Strong Ale or Lager","Strong Ale",8.5,NA,NA,NA,"N"
"328","sQ0x8a","A Stout Called Love Buzz",43,"American-Style Imperial Stout","American Imperial Stout",6.5,NA,NA,NA,"N"
"329","TuOMlc","Abound",37,"American-Style Brown Ale","American Brown",5.5,27,NA,NA,"N"
"330","gqS2gw","About a Girl IPA",30,"American-Style India Pale Ale","American IPA",NA,NA,NA,NA,"N"
"331","w0jdfa","About A Month Hazy IPA",172,"Juicy or Hazy India Pale Ale","Juicy or Hazy IPA",6.3,25,NA,NA,"N"
"332","T05zvW","Aboutoo Cream Ale",109,"American-Style Cream Ale or Lager","Cream Ale",5.1,18,NA,NA,"N"
"333","gYjnsW","Above and Below",164,"Session India Pale Ale","Session IPA",5.6,NA,NA,NA,"N"
"334","QnrBvB","Above Market Value",172,"Juicy or Hazy India Pale Ale","Juicy or Hazy IPA",6,NA,3,NA,"N"
"335","KOFiIK","Above the Clouds",72,"French & Belgian-Style Saison","Saison",6.3,NA,NA,NA,"N"
"336","H0WelP","Abraca-Pocus",18,"Brown Porter","Brown Porter",5.6,23,NA,NA,"N"
"337","4Eo1se","Abrahadabra",30,"American-Style India Pale Ale","American IPA",6,NA,NA,NA,"N"
"338","QLnn5t","Abraham Drinkin' - SC",113,"Light American Wheat Ale or Lager without Yeast","Wheat Ale",5.4,NA,NA,NA,"N"
"339","y9iMq1","Abrasive Ale",31,"Imperial or Double India Pale Ale","Imperial IPA",9.2,120,8,NA,"N"
"340","ymZJly","Abraxas",44,"Specialty Stouts","Stout",10,80,NA,NA,"N"
"341","uz7w7T","Abraxxxas",47,"Leipzig-Style Gose","Leipzig Gose",6,NA,NA,NA,"N"
"342","OgeUyz","Abraxxxas Apple",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",6,NA,NA,NA,"N"
"343","w6FXUR","Abraxxxas Pear",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",6,NA,NA,NA,"N"
"344","0zR1Jc","Abricot Du Fermier",72,"French & Belgian-Style Saison","Saison",8,NA,NA,NA,"N"
"345","snZsiH","Abricot Soleil",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",4.6,5,NA,NA,"N"
"346","5q3Au2","Abrikoos",70,"Other Belgian-Style Ales","Belgian Ale",6.6,70,NA,NA,"N"
"347","tVmKzs","Åbro Original",80,"Vienna-Style Lager","Vienna Lager",NA,NA,NA,NA,"N"
"348","oSz86V","ABS (Almost Brown Sour)",40,"American-Style Sour Ale","Sour",6,NA,NA,NA,"N"
"349","hCdT4L","Absence of Light",44,"Specialty Stouts","Stout",7.4,36,NA,1.072,"N"
"350","w0mD2o","Absence Of Light",20,"Sweet or Cream Stout","Sweet Stout",7.1,NA,NA,NA,"N"
"351","T0KFSZ","Absent Landlord",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",5.3,18,NA,NA,"N"
"352","5e55RW","Absinthe Barrel Aged GFY Stout",16,"British-Style Imperial Stout","British Imperial Stout",8,NA,NA,NA,"N"
"353","oMnlN7","Absinthe Minded",132,"Wood- and Barrel-Aged Beer","BBL Aged",11.5,NA,41,NA,"Y"
"354","OOWKTh","Absofruitly! Red Raspberry",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",5.2,5,NA,NA,"N"
"355","BraeVs","Absofruitly: Nectarine & Peach",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",5.6,10,NA,NA,"N"
"356","PFXKnH","Absolem",30,"American-Style India Pale Ale","American IPA",NA,NA,NA,NA,"N"
"357","wHCCNh","Absolute Block",23,"Classic Irish-Style Dry Stout","Dry Irish Stout",5.5,30,36,1.05,"N"
"358","nuA9M3","Absolute Horizon CDA",103,"American-Style Dark Lager","American Dark Lager",6.5,72,26,NA,"N"
"359","moScYb","Absolution",14,"Strong Ale","Strong Ale",5.3,NA,NA,NA,"N"
"360","0ykGiT","Absolution",31,"Imperial or Double India Pale Ale","Imperial IPA",8.7,92,NA,NA,"N"
"361","fV7oZ7","Absolution Amber",9,"Scottish-Style Export Ale","Scottish Export",5.5,NA,NA,NA,"N"
"362","R39DHR","Abstrakt",125,"Specialty Beer","Specialty",NA,NA,NA,NA,"N"
"363","DEKxDD","Abstrakt AB:14",35,"American-Style Wheat Wine Ale","Wheatwine",10.2,NA,NA,NA,"N"
"364","9EQPes","Abstrakt AB:20",17,"British-Style Barley Wine Ale","British Barleywine",14.2,NA,NA,NA,"N"
"365","OUznny","Abstrakt AB:22",43,"American-Style Imperial Stout","American Imperial Stout",12.5,NA,NA,NA,"N"
"366","jkGWPs","ABSTRAKT AB:23",125,"Specialty Beer","Specialty",11.5,NA,NA,NA,"N"
"367","XwBTxZ","Abstrator",90,"German-Style Doppelbock","Doppelbock",6.2,NA,NA,NA,"N"
"368","woexcT","ABSURDITY: BELGIAN IPA",62,"Belgian-Style Pale Ale","Belgian Pale",8.4,NA,NA,NA,"N"
"369","lott7J","Abt. 6",55,"German-Style Altbier","Altbier",NA,NA,NA,NA,"N"
"370","SBrAip","Abtskelder Tripel",59,"Belgian-Style Tripel","Belgian Tripel",8.4,NA,NA,NA,"N"
"371","2m7tfa","Abuela Stout",43,"American-Style Imperial Stout","American Imperial Stout",8.9,40,NA,NA,"N"
"372","FQIwJH","Abuelita en Fuego",44,"Specialty Stouts","Stout",7.5,24,NA,NA,"N"
"373","J6KYoh","Abuelita Stout",42,"American-Style Stout","American Stout",NA,NA,NA,NA,"N"
"374","MIWkGa","Admiral Piebeer - It's A Cherry Pie Dubbel",58,"Belgian-Style Dubbel","Belgian Dubbel",7.5,NA,NA,NA,"N"
"375","1sXZ7F","Admiral Spiced Applebeer",58,"Belgian-Style Dubbel","Belgian Dubbel",7,NA,NA,NA,"N"
"376","qZv08Q","Admiral Spiced Nutbeer - It's A Cashew/Cinnamon! Dubbel",58,"Belgian-Style Dubbel","Belgian Dubbel",7,NA,NA,NA,"N"
"377","9J01ev","Admiral's Ale",5,"Extra Special Bitter","ESB",5,NA,NA,NA,"N"
"378","Slqgp8","Admiral's IPA",30,"American-Style India Pale Ale","American IPA",5,NA,NA,NA,"N"
"379","8sEzHT","Admiral's Reserve Barleywine",34,"American-Style Barley Wine Ale","American Barleywine",10,NA,NA,NA,"N"
"380","MWsTo2","Admiration",141,"Semi-Sweet Mead","Semi-Sweet Mead",NA,NA,NA,NA,"N"
"381","3QQCrf","Admiration IPA",2,"English-Style India Pale Ale","English IPA",6,65,11,1.062,"N"
"382","zM8uBP","Adnams American-style IPA",30,"American-Style India Pale Ale","American IPA",4.8,NA,NA,NA,"N"
"383","DzaWUH","Adnams Belgian Style Witbier",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",4.2,NA,NA,NA,"N"
"384","bfriKq","Adnams Belgian-style Abbey ale",62,"Belgian-Style Pale Ale","Belgian Pale",5,NA,NA,NA,"N"
"385","zO43CF","Adnams Broadside",5,"Extra Special Bitter","ESB",6.3,NA,NA,NA,"N"
"386","qJJKdi","Adnams Diamond Ale",36,"Golden or Blonde Ale","Blonde",4.1,NA,NA,NA,"N"
"387","Sd28n9","Adnams Dutch-style Bokbier",125,"Specialty Beer","Specialty",5.3,NA,NA,NA,"N"
"388","4wkwwa","Adnams East Green",36,"Golden or Blonde Ale","Blonde",4.3,NA,NA,NA,"N"
"389","bhmrLg","Adnams Explorer",3,"Ordinary Bitter","Bitter",4.3,NA,NA,NA,"N"
"390","f85F7M","Adnams Extra",5,"Extra Special Bitter","ESB",4.3,NA,NA,NA,"N"
"391","SexHnz","Adnams Fisherman",32,"American-Style Amber/Red Ale","Amber",4.5,NA,NA,NA,"N"
"392","6GZxkR","Adnams Flame Runner",36,"Golden or Blonde Ale","Blonde",3.9,NA,NA,NA,"N"
"393","hGTl61","Adnams German Style Kölner",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",4.2,NA,NA,NA,"N"
"394","JaCZFS","Adnams German style Kölsch Beer",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",4.2,NA,NA,NA,"N"
"395","vtvNOt","Adnams German Style Wheat Beer",48,"South German-Style Hefeweizen / Hefeweissbier","Hefeweizen",4.1,NA,NA,NA,"N"
"396","Ku1a3J","Adnams Ginger Beer",125,"Specialty Beer","Specialty",2.5,NA,NA,NA,"N"
"397","YDeBYK","Adnams Green Bullet",36,"Golden or Blonde Ale","Blonde",4.6,NA,NA,NA,"N"
"398","xDkOCk","Adnams Gunhill",10,"English-Style Pale Mild Ale","English Pale Mild",4,NA,NA,NA,"N"
"399","ZXTCMB","Adnams Innovation",30,"American-Style India Pale Ale","American IPA",6.7,NA,NA,NA,"N"
"400","AXMzhl","Adnams Irish Stout",23,"Classic Irish-Style Dry Stout","Dry Irish Stout",4.3,NA,NA,NA,"N"
"401","FWElp0","Adnams Jack Brand Crystal Rye IPA",2,"English-Style India Pale Ale","English IPA",5,NA,NA,NA,"N"
"402","dCVxfZ","Adnams Jack Brand Dry Hopped Lager",75,"German-Style Pilsener","German Pilsener",4.2,NA,NA,NA,"N"
"403","BrC0Vc","Adnams Lighthouse",36,"Golden or Blonde Ale","Blonde",3.4,NA,NA,NA,"N"
"404","tlWrQE","Adnams Mild",10,"English-Style Pale Mild Ale","English Pale Mild",3.2,NA,NA,NA,"N"
"405","W5FfZf","Adnams Old Ale",13,"Old Ale","Old Ale",4.1,NA,NA,NA,"N"
"406","8OyTj6","Adnams Oyster",23,"Classic Irish-Style Dry Stout","Dry Irish Stout",4.3,NA,NA,NA,"N"
"407","kihHsX","Adnams Regatta",36,"Golden or Blonde Ale","Blonde",4.3,NA,NA,NA,"N"
"408","QUdcoU","Adnams Sole Star",3,"Ordinary Bitter","Bitter",2.7,NA,NA,NA,"N"
"409","aVaZXL","Adnams Southwold Bitter",4,"Special Bitter or Best Bitter","Special Bitter",4.1,NA,NA,NA,"N"
"410","2oMQxv","Adnams Spindrift",61,"Belgian-Style Blonde Ale","Belgian Blonde",4,NA,NA,NA,"N"
"411","4yg5xQ","Adnams Tally Ho",17,"British-Style Barley Wine Ale","British Barleywine",7,NA,NA,NA,"N"
"412","1UXQA4","Adnams William Godell",3,"Ordinary Bitter","Bitter",4.5,NA,NA,NA,"N"
"413","N2Q61y","Adnams Yuletide",14,"Strong Ale","Strong Ale",4.5,NA,NA,NA,"N"
"414","OO6Omp","Adonis",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",5.2,NA,NA,NA,"N"
"415","raBlrT","Adoration",72,"French & Belgian-Style Saison","Saison",6.5,47,NA,NA,"N"
"416","BdHULe","Adrenaline Seeker",30,"American-Style India Pale Ale","American IPA",7.5,68,NA,NA,"N"
"417","Kc55hq","Airborne IPA",30,"American-Style India Pale Ale","American IPA",5.8,NA,NA,NA,"N"
"418","B319L4","Airborne Ranger",31,"Imperial or Double India Pale Ale","Imperial IPA",9.2,90,NA,NA,"N"
"419","ySKK61","Airdale Afterburner",32,"American-Style Amber/Red Ale","Amber",5.3,34,18,NA,"N"
"420","am38FS","Airdale Dark & Stormy",43,"American-Style Imperial Stout","American Imperial Stout",9.5,50,41,NA,"N"
"421","M8bVwa","Airdale Horizon",48,"South German-Style Hefeweizen / Hefeweissbier","Hefeweizen",4.9,12,5,NA,"N"
"422","yglJME","Airing of Grievances",155,"Fruit Cider","Fruit Cider",5.9,NA,NA,NA,"N"
"423","lklUUk","Airing of Grievances",30,"American-Style India Pale Ale","American IPA",7.3,NA,NA,NA,"N"
"424","A0B3NG","Airing of Grievances",43,"American-Style Imperial Stout","American Imperial Stout",10.6,NA,NA,NA,"N"
"425","lg0CKs","Airmail",36,"Golden or Blonde Ale","Blonde",5,30,NA,NA,"N"
"426","oTQLTz","Airship Honey Pilsner",98,"American-Style Pilsener","American Pilsener",5.7,25,NA,NA,"N"
"427","d90Lc0","Airship Light",61,"Belgian-Style Blonde Ale","Belgian Blonde",NA,NA,NA,NA,"N"
"428","qGrpUw","Aisha",18,"Brown Porter","Brown Porter",9,NA,NA,NA,"N"
"429","235a0F","AJ",36,"Golden or Blonde Ale","Blonde",4.5,NA,NA,NA,"N"
"430","tfDmZA","Ajax",173,"Juicy or Hazy Imperial or Double India Pale Ale","Juicy or Hazy Double IPA",8.7,49,NA,NA,"N"
"431","DFJoPF","Ajax Pilsner",76,"Bohemian-Style Pilsener","Bohemian Pilsener",4.5,40,NA,NA,"N"
"432","1hZcXN","AK",30,"American-Style India Pale Ale","American IPA",8.3,27,NA,NA,"N"
"433","UVCLak","AK Alive!",125,"Specialty Beer","Specialty",8,NA,NA,NA,"N"
"434","Oxwo6X","AK Original Bitter",3,"Ordinary Bitter","Bitter",NA,NA,NA,NA,"N"
"435","lsODUG","AK [Hallow Victory Edition] (Ghost 769)",31,"Imperial or Double India Pale Ale","Imperial IPA",8.1,27,NA,NA,"N"
"436","NMbEe5","AK-47",125,"Specialty Beer","Specialty",4.7,30,NA,NA,"N"
"437","8LrVfn","AK-47 English Pub Draft Ale",10,"English-Style Pale Mild Ale","English Pale Mild",NA,NA,NA,NA,"N"
"438","iVTcgA","AK-47 Hazelnut Porter",18,"Brown Porter","Brown Porter",8,NA,NA,NA,"N"
"439","yDmuOk","AK-47 Malt Liquor",100,"American-Style Malt Liquor","Malt Liquor",6,NA,NA,NA,"N"
"440","zikGFg","Aka Manah",43,"American-Style Imperial Stout","American Imperial Stout",10.5,NA,NA,NA,"N"
"441","30tYtu","Akademia Premium",93,"American-Style Lager","American Lager",NA,NA,NA,NA,"N"
"442","ZU5POb","Akademik Bourbon Black Ale",134,"Wood- and Barrel-Aged Dark Beer","BBL Aged Dark",11,NA,NA,NA,"Y"
"443","8rzS3o","Akala",30,"American-Style India Pale Ale","American IPA",6.2,55,NA,NA,"N"
"444","dedDYh","Akala",30,"American-Style India Pale Ale","American IPA",6.2,55,NA,NA,"N"
"445","9cGA8q","Akamai",31,"Imperial or Double India Pale Ale","Imperial IPA",8.2,NA,NA,NA,"N"
"446","oH4thp","Akane",72,"French & Belgian-Style Saison","Saison",7,30,NA,NA,"N"
"447","qEvOnU","Akari Mist",112,"Light American Wheat Ale or Lager with Yeast","Wheat Ale",5.5,NA,NA,NA,"N"
"448","gS8VSG","Akari Shogun",112,"Light American Wheat Ale or Lager with Yeast","Wheat Ale",5.5,NA,NA,NA,"N"
"449","RIREdh","Aker IPA",30,"American-Style India Pale Ale","American IPA",6.7,75,NA,NA,"N"
"450","MJ1ohu","Akevitt  Barrel-Aged Porter",19,"Robust Porter","Robust Porter",10,NA,NA,NA,"N"
"451","kgnQYJ","Akevitt Porter",19,"Robust Porter","Robust Porter",10,32,NA,NA,"N"
"452","52i48v","Akilter",32,"American-Style Amber/Red Ale","Amber",NA,NA,NA,NA,"N"
"453","mmSKnJ","Al Caporter",18,"Brown Porter","Brown Porter",6,NA,NA,NA,"N"
"454","vzbfgx","Al' Wheat Pet",112,"Light American Wheat Ale or Lager with Yeast","Wheat Ale",4.1,NA,NA,NA,"Y"
"455","qKxekH","Al-Dabeyoun",59,"Belgian-Style Tripel","Belgian Tripel",9,70,NA,NA,"N"
"456","7ePf3B","Ala Moana Amber",32,"American-Style Amber/Red Ale","Amber",5.62,30,NA,NA,"N"
"457","dkfTVU","Alabama Honey Rye",126,"Specialty Honey Lager or Ale","Honey Beer",8,NA,NA,NA,"N"
"458","kMUZoW","Alabaster",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",5.4,NA,NA,NA,"N"
"459","olMppS","Alablaster Belgian Witbier",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",NA,NA,NA,NA,"Y"
"460","pzzL5x","All Access American Barley Wine Ale",34,"American-Style Barley Wine Ale","American Barleywine",8.5,NA,NA,NA,"N"
"461","bHT2Li","All Amarillo Everything",30,"American-Style India Pale Ale","American IPA",6.5,NA,NA,NA,"N"
"462","9wM32C","All American Blonde",36,"Golden or Blonde Ale","Blonde",NA,NA,NA,NA,"N"
"463","rKTooL","All American Blonde",36,"Golden or Blonde Ale","Blonde",5.2,22,5,NA,"Y"
"464","NPEPwg","All American Imperial Pilsner",97,"American-Style Premium Lager","American Premium Lager",8.9,75,NA,NA,"N"
